timestamp,emp_id,emp_class,branch_id,session_id,ip_address,vpn_proxy_flag,user_agent,device_fingerprint,is_fraud_flag
2025-10-01 08:00:25,EMP_1051,CLERK,BR_20,d0e68041-289e-47d6-8847-322626c4a555,10.20.192.72,0,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_8) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/51.0.803.0 Safari/531.2",38fadfb4623bdc29,0
2025-10-01 09:27:29,EMP_1208,CLERK,BR_01,e3e654d6-9a3e-4c27-ab09-aa427bdeeadb,10.1.49.101,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/19.0.811.0 Safari/532.2",4420f0482c68b934,0
2025-10-01 10:21:46,EMP_1242,CLERK,BR_02,b427548d-6074-4434-91f1-835ea0753307,10.2.172.130,0,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/51.0.881.0 Safari/536.0",ec5eaf11db8e80a8,0
2025-10-01 10:24:18,EMP_1028,CLERK,BR_17,148ca89c-d321-4c9b-841d-436a9d91a888,208.244.25.77,0,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ast-ES) AppleWebKit/532.44.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6532.44.3",ff3fcc5c8b6bddac,0
2025-10-01 10:35:12,EMP_1426,CLERK,BR_09,e5304645-d2cb-4417-af96-baefc629fa22,10.9.195.115,0,Opera/9.84.(Windows NT 4.0; dv-MV) Presto/2.9.183 Version/12.00,589e7322c4849ff8,0
2025-10-01 10:36:49,EMP_1037,CLERK,BR_14,b48b455b-7bc2-40cc-8a0c-263d916dac5a,10.14.250.48,0,Opera/9.21.(X11; Linux x86_64; lo-LA) Presto/2.9.164 Version/12.00,a32009563e616549,0
2025-10-01 10:45:06,EMP_1325,CLERK,BR_09,7b182e84-7641-422d-8000-f2530d297d71,10.9.241.9,0,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/13.0.887.0 Safari/531.0",cbf34349ab4fceb6,0
2025-10-01 10:46:59,EMP_1452,CLERK,BR_15,2cd5f9e1-676a-491f-ab56-5177335f7a59,10.15.76.62,0,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/531.41.3 (KHTML, like Gecko) Version/4.0.2 Safari/531.41.3",1040a01d261fa89d,0
2025-10-01 10:50:10,EMP_1035,CLERK,BR_05,e919fd10-bd14-42a7-93bb-73396807a8e5,10.5.169.184,0,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/7030-03-05 19:12:56 Firefox/5.0,d29cf984f183a41e,0
2025-10-01 10:53:35,EMP_1377,CLERK,BR_05,dd0d0d1a-2ed0-45a8-9da0-e73bb44d7eab,10.5.147.83,0,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/59.0.873.0 Safari/531.1",543c4dca30cc1717,0
2025-10-01 10:56:50,EMP_1447,CLERK,BR_13,d221566c-1ac7-4e22-851c-17550458a601,10.13.124.179,0,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/30.0.859.0 Safari/534.2",8bbb4851efdfb328,0
2025-10-01 10:59:35,EMP_1468,CLERK,BR_02,37972018-2474-4e0d-924b-e25a895abec8,10.2.172.130,0,Opera/8.58.(Windows NT 5.1; gl-ES) Presto/2.9.188 Version/10.00,39a5914d17d1b574,0
2025-10-01 11:20:29,EMP_1215,MANAGER,BR_19,b13c767d-9539-4f0b-bb6f-cf84ab59092a,10.19.124.147,0,"Mozilla/5.0 (Windows 95) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/50.0.894.0 Safari/534.1",74e847dea166a5a8,0
2025-10-01 11:21:09,EMP_1093,CLERK,BR_02,fc3ae176-e033-4c99-a416-25699fd8cde4,10.2.153.152,0,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/55.0.891.0 Safari/535.0",311b32e5eef0440b,0
