timestamp,emp_id,emp_class,branch_id,action_type,transfer_channel,account_touched,amount,session_id,sequence_id,ip_address,is_fraud_flag,dwell_time_seconds,records_accessed,login_hour,off_hours_flag
2025-10-01 02:47:48,EMP_1416,IT_ADMIN,BR_20,DB_Read,SYSTEM,SYSTEM_BULK_EXPORT,0.0,7b45fa68-8198-41a4-a36d-a5d680e4779d,1,216.228.82.113,1,0.0099,6539,2,1
2025-10-01 08:03:48,EMP_1200,CLERK,BR_02,DB_Read,SYSTEM,ACC_1665,196590.3,4d540e9c-d8ee-430a-b20a-3a140f5abffd,1,10.2.160.108,0,102.4,112,8,0
2025-10-01 08:04:04,EMP_1224,CLERK,BR_06,DB_Read,SYSTEM,ACC_2915,246643.11,7d4b8413-1400-4d2b-a8fc-93c225ff4477,1,10.6.207.212,0,238.7,88,8,0
2025-10-01 08:05:41,EMP_1177,CLERK,BR_19,DB_Read,SYSTEM,ACC_7702,56633.39,6bec61e1-6c3f-40b2-93c4-c19d1ea9bada,1,10.19.71.69,0,134.4,148,8,0
2025-10-01 08:31:36,EMP_1340,CLERK,BR_10,DB_Read,SYSTEM,ACC_3445,118107.08,f78e9d6e-25ae-4fbc-9000-b5703d1badc6,1,221.108.180.212,0,127.1,140,8,0
2025-10-01 08:37:17,EMP_1121,CLERK,BR_03,Initiate,RTGS,ACC_2793,257250.09,d6865833-0070-4fa2-8bf2-54a7ae5b4c4f,1,10.3.70.133,0,263.4,98,8,0
2025-10-01 08:40:28,EMP_1351,CLERK,BR_09,DB_Read,SYSTEM,ACC_8981,295565.1,9d596caf-6ec6-4f0c-add5-8efef940851c,1,42.55.219.177,1,83.7,144,8,0
2025-10-01 08:57:35,EMP_1300,CLERK,BR_18,DB_Read,SYSTEM,ACC_4535,287028.78,c0ba95a9-4d05-48da-8864-813f033729ab,1,10.18.137.40,0,70.3,117,8,0
2025-10-01 08:57:37,EMP_1155,MANAGER,BR_14,Initiate,NEFT,ACC_2459,1177910.71,7223fb4e-dc7c-4682-b94a-ea67c55c8bb6,1,10.14.17.215,0,121.6,32,8,0
2025-10-01 09:00:00,EMP_1047,CLERK,BR_10,Initiate,NEFT,ACC_2727,2600244.0,acd59a4c-481a-463b-8865-f5a1e7bd08dc,1,10.10.152.119,1,137.7,3674,9,0
2025-10-01 09:01:40,EMP_1047,CLERK,BR_10,Initiate,RTGS,ACC_2995,697116.0,8e1edeb3-e241-4547-bf3e-6cb397cd87b5,2,10.10.152.119,1,109.8,3039,9,0
2025-10-01 09:03:20,EMP_1047,CLERK,BR_10,Initiate,RTGS,ACC_3093,1194302.0,29d9bcf4-8b0f-4cf6-a4cd-971e33f37272,3,10.10.152.119,1,148.4,3933,9,0
2025-10-01 09:03:46,EMP_1051,CLERK,BR_20,DB_Read,SYSTEM,ACC_6866,324651.85,2bdbce75-f091-4c38-9925-d4fc4c9236ac,1,10.20.201.94,0,61.6,136,9,0
2025-10-01 09:05:00,EMP_1047,CLERK,BR_10,Initiate,NEFT,ACC_3486,3573720.0,ae2a2ae7-0707-4d6c-9f0f-393fe2651b14,4,10.10.152.119,1,68.2,3736,9,0
2025-10-01 09:05:02,EMP_1106,CLERK,BR_17,Initiate,NEFT,ACC_7225,134457.81,5008eb75-8f01-47f7-93ac-d9e64979867e,1,10.17.118.215,0,58.5,94,9,0
2025-10-01 09:06:40,EMP_1047,CLERK,BR_10,Initiate,NEFT,ACC_3845,3851429.0,4977f39a-b9af-41ec-ac3b-708a8a6ab806,5,10.10.152.119,1,139.2,3278,9,0
2025-10-01 09:07:19,EMP_1115,IT_ADMIN,BR_09,DB_Read,SYSTEM,ACC_2357,0.0,0fdbf036-1820-4e82-8550-6b9cc9cc8e43,1,10.9.193.97,0,0.009,56630,9,0
2025-10-01 09:08:20,EMP_1047,CLERK,BR_10,Initiate,RTGS,ACC_2733,4853793.0,fd11c788-22fd-4a76-82d4-8bd7add6597f,6,10.10.152.119,1,101.0,2927,9,0
2025-10-01 09:10:00,EMP_1047,CLERK,BR_10,Initiate,RTGS,ACC_2821,1966214.0,6c82c2ad-ab55-4c10-acf0-2ec4d49d1d71,7,10.10.152.119,1,105.5,3596,9,0
2025-10-01 09:11:40,EMP_1047,CLERK,BR_10,Initiate,NEFT,ACC_3811,2167068.0,a279da74-6677-4ead-816a-f99d17af4d8a,8,10.10.152.119,1,177.1,2017,9,0
2025-10-01 09:13:20,EMP_1047,CLERK,BR_10,Initiate,RTGS,ACC_2152,2613001.0,e4ad36b2-8817-4a3a-953d-5b6c27ad5f79,9,10.10.152.119,1,59.0,4744,9,0
2025-10-01 09:13:50,EMP_1216,CLERK,BR_07,DB_Read,SYSTEM,ACC_5307,216008.79,5ce0a1d2-110e-41da-97c8-cb23a61eb4d9,1,10.7.151.95,0,80.8,139,9,0
2025-10-01 09:15:00,EMP_1047,CLERK,BR_10,Initiate,NEFT,ACC_3591,1352621.0,acd59a4c-481a-463b-8865-f5a1e7bd08dc,10,10.10.152.119,1,54.1,4192,9,0
2025-10-01 09:16:40,EMP_1047,CLERK,BR_10,Initiate,RTGS,ACC_2925,1084646.0,6d629384-a0b5-45d0-8bc6-9a1341fb71e9,11,10.10.152.119,1,46.5,4995,9,0
2025-10-01 09:17:22,EMP_1398,MANAGER,BR_19,Initiate,NEFT,ACC_9556,279541.8,1b3671df-8b4b-4406-9a35-62f71545137e,1,10.19.39.93,0,186.5,30,9,0
2025-10-01 09:18:20,EMP_1047,CLERK,BR_10,Initiate,NEFT,ACC_3372,2640672.0,1b0fcd0b-4240-463a-a6be-23e26b19faea,12,10.10.152.119,1,171.0,4162,9,0
